"WasdeNumber","ReportDate","ReportTitle","Attribute","ReliabilityProjection","Commodity","Region","MarketYear","ProjEstFlag","AnnualQuarterFlag","Value","Unit","ReleaseDate","ReleaseTime","ForecastYear","ForecastMonth"
"662","July 2025","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Beginning Stocks","","Sugar","Mexico","2024/25","Est.","Annual","1418.00","1000 Metric Tons, Actual Weight","2025-07-11","12:00:00.0000000","2025","7"
"662","July 2025","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Domestic","","Sugar","Mexico","2024/25","Est.","Annual","4459.00","1000 Metric Tons, Actual Weight","2025-07-11","12:00:00.0000000","2025","7"
"662","July 2025","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Ending Stocks","","Sugar","Mexico","2024/25","Est.","Annual","1098.00","1000 Metric Tons, Actual Weight","2025-07-11","12:00:00.0000000","2025","7"
"662","July 2025","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Exports","","Sugar","Mexico","2024/25","Est.","Annual","806.00","1000 Metric Tons, Actual Weight","2025-07-11","12:00:00.0000000","2025","7"
"662","July 2025","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Imports","","Sugar","Mexico","2024/25","Est.","Annual","175.00","1000 Metric Tons, Actual Weight","2025-07-11","12:00:00.0000000","2025","7"
"662","July 2025","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Production","","Sugar","Mexico","2024/25","Est.","Annual","4770.00","1000 Metric Tons, Actual Weight","2025-07-11","12:00:00.0000000","2025","7"
"662","July 2025","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Beginning Stocks","","Sugar","Mexico","2025/26","Proj.","Annual","1098.00","1000 Metric Tons, Actual Weight","2025-07-11","12:00:00.0000000","2025","7"
"662","July 2025","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Domestic","","Sugar","Mexico","2025/26","Proj.","Annual","4569.00","1000 Metric Tons, Actual Weight","2025-07-11","12:00:00.0000000","2025","7"
"662","July 2025","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Ending Stocks","","Sugar","Mexico","2025/26","Proj.","Annual","1081.00","1000 Metric Tons, Actual Weight","2025-07-11","12:00:00.0000000","2025","7"
"662","July 2025","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Exports","","Sugar","Mexico","2025/26","Proj.","Annual","684.00","1000 Metric Tons, Actual Weight","2025-07-11","12:00:00.0000000","2025","7"
